CVIL1;CPAYS1;VIL1;CVIL2;CPAYS2;VIL2;NBPA2000;DKM
MSP;UNST;MINNEAPOLIS;STL;UNST;ST LOUIS;384 044;723
PAD;GERF;PADERBORN;PMI;SPAN;PALMA DE MALLORCA;383 352;1 429
OMA;UNST;OMAHA;PHX;UNST;PHOENIX;383 294;1 667
BRU;BELG;BRUSSELS;LIS;PORT;LISBON;383 034;1 717
BUD;HUNG;BUDAPEST;FRA;GERF;FRANKFURT;382 872;833
ATL;UNST;ATLANTA;SAN;UNST;SAN DIEGO;382 208;3 034
NYC;UNST;NEW YORK **;POP;DOMR;PUERTO PLATA;379 917;2 349
GCM;CAYM;GRAND CAYMAN;MIA;UNST;MIAMI **;379 746;733
CHC;NEWZ;CHRISTCHURCH;SYD;ASTL;SYDNEY;379 723;2 126
LTN;UNKG;LUTON;NCE;FRAN;NICE;379 257;1 072
MSY;UNST;NEW ORLEANS;TPA;UNST;TAMPA, FL **;378 958;784
BHX;UNKG;BIRMINGHAM;PAR;FRAN;PARIS **;377 837;505
GUM;GUAM;GUAM;NGO;JAPN;NAGOYA;377 710;2 542
HKG;HONG;HONG KONG;PAR;FRAN;PARIS **;376 885;9 626
AGP;SPAN;MALAGA;LTN;UNKG;LUTON;376 853;1 720
PHX;UNST;PHOENIX;RNO;UNST;RENO;376 544;965
LON;UNKG;LONDON **;STR;GERF;STUTTGART;376 421;772
BOM;INDA;BOMBAY;RUH;SAUD;RIYADH;376 000;2 765
PIT;UNST;PITTSBURGH;TPA;UNST;TAMPA, FL **;375 892;1 407
HOU;UNST;HOUSTON **;SEA;UNST;SEATTLE;375 760;3 041
FRA;GERF;FRANKFURT;NUE;GERF;NUREMBERG;375 736;190
AMS;NETH;AMSTERDAM;BRU;BELG;BRUSSELS;375 710;159
BNA;UNST;NASHVILLE;CLE;UNST;CLEVELAND;375 004;721
CLE;UNST;CLEVELAND;PHX;UNST;PHOENIX;374 952;2 791
CLE;UNST;CLEVELAND;TPA;UNST;TAMPA, FL **;374 418;1 496
AMS;NETH;AMSTERDAM;LPA;SPNA;LAS PALMAS;374 220;3 185
NYC;UNST;NEW YORK **;ORF;UNST;NORFOLK;374 144;469
LPA;SPNA;LAS PALMAS;MAN;UNKG;MANCHESTER;374 100;3 021
PBI;UNST;PALM BEACH;WAS;UNST;WASHINGTON **;373 746;1 382
ATL;UNST;ATLANTA;RIC;UNST;RICHMOND;373 368;772
DEN;UNST;DENVER;SNA;UNST;ORANGE COUNT;372 016;1 338
DUS;GERF;DUSSELDORF;IST;TURK;ISTANBUL;370 696;2 037
FRA;GERF;FRANKFURT;TLV;ISRL;TEL AVIV;369 698;2 953
ATL;UNST;ATLANTA;SAV;UNST;SAVANNAH;369 456;346
LAS;UNST;LAS VEGAS;MIA;UNST;MIAMI **;368 774;3 493
MRU;MAUT;MAURITIUS;RUN;REUN;ST DENIS;368 567;227
DKR;SENG;DAKAR;PAR;FRAN;PARIS **;368 442;4 190
